楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
轟け！恋のビーンボール！！,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9855708,31,30,0,0
Verse IV,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9539860,50,24,0,0
Verse IV,HEAVENLY,19,PLAYED,A+,9120188,9,0,0,0
野球の遊び方　そしてその歴史　～決定版～,EXHAUST,13,EXCESSIVE COMPLETE,S,9959579,3,3,0,0
LittleGameStar,EXHAUST,15,EXCESSIVE COMPLETE,S,9916087,18,16,0,0
LittleGameStar,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9811705,5,5,0,0
イゴモヨス＝オムルのテーマによるブヨブヨ・スケッチの試み,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9834269,48,38,0,0
will o' the wisp,EXHAUST,13,ULTIMATE CHAIN,S,9958294,5,5,1,0
Profession,EXHAUST,16,EXCESSIVE COMPLETE,S,9913159,18,18,0,0
雪女,EXHAUST,16,EXCESSIVE COMPLETE,S,9916826,31,29,0,0
雪女,GRAVITY,17,EXCESSIVE COMPLETE,AAA,9729985,17,15,0,0
おお われら喜び讃うべし、主よ,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9842219,88,82,0,0
上海紅茶館 ～ Chinese Tea Orchid Remix,EXHAUST,16,EXCESSIVE COMPLETE,S,9905541,62,57,0,0
U.N.オーエンは彼女なのか？haru_naba Remix,ADVANCED,11,COMPLETE,AAA,9714557,3,3,0,0
U.N.オーエンは彼女なのか？haru_naba Remix,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9649572,87,22,0,0
Lunatic Rough Party!!,EXHAUST,14,ULTIMATE CHAIN,AAA+,9804560,51,46,1,0
超越してしまった彼女と其を生み落した理由,ADVANCED,12,COMPLETE,AAA,9725663,1,1,0,0
超越してしまった彼女と其を生み落した理由,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9619151,140,25,0,0
